"Below target quantity",,,,,,
"Pos","Tgt.","Act.","No.","Item No.","Name","Repair"
2,1,0,-1,"314.44","T Handle With Quick Coupling",
"S/N:","002","VEND SYNTHES SPINE SYNMESH CERVICAL INST 12MM/15MM IMPL""C"" 2",,,,
8,1,0,-1,"389.188","Synmesh Parallel Distractor Extended",
9,1,0,-1,"391.963","Pliers Universal Bending",
10,1,0,-1,"396.388","Synmesh Implant Holder Sm W/tips",
14,1,0,-1,"397.023","Impactor Crescent",
"WNEU364","S/N:","001","VEND MEDTRONIC SOLERA 4.75 EXPANDED INSTRUMENTS PAN 1 ""C"" 1",,,
20,1,0,-1,"8350423","Tap Osteogrip Thin 5.0mm",
"WNEU371","S/N:","001","VEND MENTRONIC CABLE CERVICAL INST ""C"" 1",,,
5,7,6,-1,"825-200","Provisional Crimp",
"WNEU395","S/N:","001","STEALTH SPINE NEURO NEW 1",,,
12,1,0,-1,"960-524","Bit 3mm Universal Drill Guide",
13,1,0,-1,"960-527","Cancellous Bit 3mm Universal Drill Guide",
16,1,0,-1,"960-717","Adj. Drill Stop 3.2mm",
19,1,0,-1,"960-559","Planar Passive  1.5mm",
35,1,0,-1,"9735206","Thoacic Probe Left",
"WNEU396","S/N:","002","IMPLANT ANE CLIP MIZUHO T2 2",,,
3,2,1,-1,"17-012-52","Applier TII Std Str 90mm",
"WNEU398","S/N:","001","RETR RADIOLUCENT BUDDE HALO 1",,,
15,1,0,-1,"438A1082A","Retractor Blade Tew 2mm 4-1/2""",
17,1,0,-1,"438A1082C","Retractor Blade Tew 2mm 6-1/2""",
19,1,0,-1,"438A1083B","Retractor Blade Tew 4mm 5-1/2""",
21,1,0,-1,"MFL438A1200A","Sammy Vascular Retractor Kit Short (3 per set)",
22,1,0,-1,"MFL438A1200B","Sammy Vascular Retractor Kit Long (3 per set)",
"S/N:","002","RETR RADIOLUCENT BUDDE HALO 2",,,,
11,2,1,-1,"438A1077C","Retractor Blade Budde Halo 5/8""",
19,1,0,-1,"438A1083B","Retractor Blade Tew 4mm 5-1/2""",
"WNEU399","S/N:","002","DR SACHO'S SPECIALS 2",,,
15,2,0,-2,"BD228R","Gerald Forceps Straight 7""",
"WNEU401","S/N:","002","SYNOVIS MICRO INSTRUMENTS 2",,,
9,2,1,-1,"B-15-8","Needle Holder 15cm long Round Handle 8mm wide Straight Tip 0.4mm",
"WORA001","S/N:","001","ARCH BARS ORAL 1",,,
20,1,0,-1,"201001","Arch- Bar",
"WORA002","S/N:","001","BASIC ORAL 1",,,
22,1,0,-1,"510-311","Needle Holder Bulldog 5-3/4""",
"S/N:","003","BASIC ORAL 3",,,,
20,2,0,-2,"36-1002","Needle Holder Castroviejo  Tc 7"" Str W/lock",
72,1,0,-1,"201-001","Arch Bar",
"WORA011","S/N:","002","EDENTULATION INST/ORAL 2",,,
7,1,0,-1,"09-0264","Elevator B Cogswell",
"WORA012","S/N:","001","EYE TRAY/ORAL 1",,,
30,2,1,-1,"34-711-13-07","Retractor Knapp Blunt",
"WORA015","S/N:","001","IMPL SYNTHES EX FIX MANDIBLE ""C"" 1",,,
19,1,0,-1,"03.305.000","Obturator For Schanz Screws 4.0mm",
21,2,1,-1,"03.305.004","Drill Bit",
24,1,0,-1,"03.305.009","Template For 4.0mm Rods",
30,1,0,-1,"392.24","Caps For 2.5 mm Kirschner Wires",
"WORA016","S/N:","001","IMPL SYNTHES IMF SET ORAL ""C"" 1",,,
2,1,0,-1,"313.939","Screwdriver Blade",
8,12,10,-2,"201.928","Screw 2.0 X 8mm",
"WORA020","S/N:","001","IMPL SYNTHES ORTHAGNATHIC/ORAL ""C"" 1",,,
9,2,1,-1,"317.876","Drill Bit Calibrated - 1.5mm",
13,2,0,-2,"310.21","Drill Bit 2.0mm /Qc/125mm",
44,2,1,-1,"317.16","Drill Bit  1.1mmx6mm",
58,2,1,-1,"447.562","Plate  Z  2.0mm",
59,4,0,-4,"446.795","Plate  Z  2.0mm",
60,4,0,-4,"446.505","Plate   Z   2.0mm",
61,4,1,-3,"446.507","Plate   Z   2.0mm",
62,4,1,-3,"446.509","Plate  Z   2.0mm",
63,4,1,-3,"446.508","Plate  Z   2.0mm",
64,4,1,-3,"446.506","Plate   Z  2.0mm",
66,4,0,-4,"446.794","Plate  Z   2.0mm",
67,2,0,-2,"447.559","Plate L  2.0mm",
68,4,0,-4,"447.041","Plate   L  2.0mm",
70,4,0,-4,"447.045","Plate   L  2.0mm",
72,4,2,-2,"447.042","Plate   L  2.0mm",
73,4,1,-3,"447.040","Plate Maxillary L  25mm 6-Hole Rt",
74,2,0,-2,"447.558","Plate  L  2.0mm",
79,2,1,-1,"447.072","Plate  X  2.0mm",
80,2,0,-2,"447.10","Plate Adaptation 20 Hole",
"WORA023","S/N:","001","LAMBOTTE/ORAL 1",,,
5,1,0,-1,"CM2/4","Curette #2/4 Molt De",
7,1,0,-1,"282-01","Lambotte Osteotome 9"" Cvd 6.4mm",
"WORA032","S/N:","003","RETR CHEEK/ORAL 3",,,
4,2,1,-1,"01-0098","Retractor           Toe In -     14 X 70mm",
7,2,0,-2,"01-7725","Obwegeser Retractor Dn 10x42mm",
"WORA043","S/N:","001","TMJ SCOPE/ORAL 1",,,
33,1,0,-1,"186-01-79","K-Wire - .035 X 9 In.",
"WORA044","S/N:","001","TMJ SCOPE STRYKER 1",,,
2,2,1,-1,"502-144-010","Scope 0° 1.9mm",
"WORA063","S/N:","001","SYNTHES SCREW REMOVAL SET ""C"" 1",,,
4,1,0,-1,"03.503.203","Screwdriver Blade Matrix Midface Hex Coupling  Self Retaining 96mm",
"WTB/WDN001","S/N:","001","HEART VALVE TRAY 1",,,
13,1,0,-1,"BV068R","Retractor Weitlaner  6-1/2"" 3x4 Semi Sharp",
"WTB/WDN003","S/N:","005","BONE TRAY 5",,,
7,1,0,-1,"BC557R","Scissors Mayo 6-3/4"" Cvd",
"WTB/WDN006","S/N:","006","WTB PADGETT DERMATOME 6",,,
5,1,0,-1,"788","Wrench Dermatome",
"WTHO010","S/N:","001","FIRST RIB RESECTION 1",,,
23,1,0,-1,"10-5401","Forceps Bayonet Bipolar",
"WTHO013","S/N:","001","LUNG RECIPIENT 1",,,
18,2,0,-2,"CV5025","Fogarty Pedi Forceps Ang 4 5/8'",
"WTHO014","S/N:","002","MEDIASTINOSCOPE INST 2",,,
26,2,1,-1,"BV071R","Retractor Weitlaner  5-1/4"" 3x4 Sharp",
"WTHO045","S/N:","002","SCOPE BRONCH RIG STORZ  7.5  8.5 2",,,
12,1,0,-1,"10314P","Fluvog Adaptor W/Sliding Window Plug and Sealing Cap",
16,1,0,-1,"10318K","Injection Cannula",
17,1,0,-1,"10435A","Aspiration Needle",
"WTHO047","S/N:","001","SCOPE ESOPH VID STORZ THO 1",,,
6,1,0,-1,"26001M","High Frequency Cautery Cord",
"WTHO059","S/N:","002","THORACOTOMY PAN 1 2",,,
30,1,0,-1,"54-8023","Scissors Litwak Mitral Valve 11"" Ang Full Cvd",
"S/N:","006","THORACOTOMY PAN 1 6",,,,
28,1,0,-1,"BC289R","Nelson Metz Scissors Tc 12"" Cvd",
"S/N:","007","THORACOTOMY PAN 1 7",,,,
30,1,0,-1,"54-8023","Scissors Litwak Mitral Valve 11"" Ang Full Cvd",
"S/N:","008","THORACOTOMY PAN 1 8",,,,
30,1,0,-1,"54-8023","Scissors Litwak Mitral Valve 11"" Ang Full Cvd",
"S/N:","009","THORACOTOMY PAN 1 9",,,,
28,1,0,-1,"BC289R","Nelson Metz Scissors Tc 12"" Cvd",
30,1,0,-1,"54-8023","Scissors Litwak Mitral Valve 11"" Ang Full Cvd",
39,2,1,-1,"SU2458","Russian Tissue Forceps 14""",
"WTHO060","S/N:","005","THORACOTOMY PAN 2 5",,,
3,1,0,-1,"34-1640","Retractor Semb Sm",
23,1,0,-1,"34-2102","Rongeur Sauerbrach Dbl Action",
"WTHO061","S/N:","001","DEBRIDEMENT SUPP THORACIC 1",,,
2,1,0,-1,"BT238R","Bone Hook",
3,1,0,-1,"FK505R","Bone File Dbl-end",
"WTHO071","S/N:","001","SCOPE MEDIASTIN VID WOLF THOR 1",,,
4,1,0,-1,"8783.701","Smoke Evacuation Tube",
"WTHO084","S/N:","001","ESOPHAGECTOMY SUPPLEMENT 1",,,
15,2,0,-2,"BM236R","Mayo Hegar Needle Holder 7"" Serr",
18,1,0,-1,"BC562R","Mayo Scissors 7-1/2"" Str",
"S/N:","002","ESOPHAGECTOMY SUPPLEMENT 2",,,,
12,1,0,-1,"BJ052R","Clamp Rt Ang Finochietto (Hole In Tip) 10""",
33,2,0,-2,"BT184R","Cushing Vein Retractor 8"" 10x13mm",
37,1,0,-1,"505230","Patterson Biopsy Forceps 28cm Elongated Cup 4mm",
38,1,0,-1,"34-2102","Rongeur Sauerbrach Dbl Action",
39,1,0,-1,"3510","Rasp Double Ended Lg",
"WTHO093","S/N:","001","ENDO HARVEST DATA SCOPE 1",,,
5,1,0,-1,"175-115","Mixter 5""",
"WTHO109","S/N:","003","POW REM B STRYKER DRILL THORACIC 3",,,
9,1,0,-1,"6400-37","RemB Reciprocating Handpiece",
"WTRA001","S/N:","001","BASIC PLASTIC TRAUMA WEST 1",,,
27,2,0,-2,"480100","Retractor Crile 4-1/4""",
32,1,0,-1,"1310","Knife Handle-Beaver -Short (3-3/4"")",
"WTRA009","S/N:","001","MICRO PLASTIC TRAUMA WEST 1",,,
3,1,0,-1,"PR2402","Sciss Suture",1
13,4,3,-1,"ST-JFL-3","Forceps 13.5cm Str Flat Hdl",
14,2,1,-1,"MI1650-TJ","Forcep Tissue Delicate 1 x 2 Micro TC 4-3/4""",
22,1,0,-1,"065195","Brachial Approximator 15mm Blade",
"WTX003","S/N:","001","AV GROIN FISTULA 1",,,
31,2,1,-1,"137082","Appliers Hemoclip Short",
"WTX004","S/N:","001","AV ACCESS 1",,,
47,2,1,-1,"FB394R","Debakey Vascular Forceps 6"" 1mm",
"S/N:","003","AV ACCESS 3",,,,
44,2,1,-1,"35-1901","Forceps Gerald  6""",
47,2,1,-1,"FB394R","Debakey Vascular Forceps 6"" 1mm",
53,1,0,-1,"320-168","Clamp  Bulldog Straight Baby",
"WTX006","S/N:","001","BASIC TRANSPLANT PAN 1 1",,,
63,1,0,-1,"BC618R","Scissors Nelson Chest  11'",
"S/N:","002","BASIC TRANSPLANT PAN 1 2",,,,
35,2,1,-1,"6006-120","Needle Holder Jacobson Micro Round Handle Castro 8-1/4""",
"S/N:","003","BASIC TRANSPLANT PAN 1 3",,,,
35,2,1,-1,"6006-120","Needle Holder Jacobson Micro Round Handle Castro 8-1/4""",
39,2,0,-2,"BM036R","Needle Holder Debakey  9""",
40,2,1,-1,"BM037R","Needle Holder Debakey  10""",
46,2,0,-2,"BD230R","Gerald Forceps 9"" Str Del",
"WTX008","S/N:","001","BASIC TRANSPLANT PAN 3 1",,,
19,1,0,-1,"35-4000","Clamp Satinsky Lg",
"WTX031","S/N:","001","RETR CODMAN 19"" CLAW FOOT 1",,,
3,1,0,-1,"SP01250","Sternal Retr Codman",
"WTX037","S/N:","001","DR CRONIN SPECIALS TX 1",,,
11,4,3,-1,"CH2483","Needle Holder Debakey   10-1/2""",
"WTX051","S/N:","003","LIVER SET PAN 2 3",,,
31,1,0,-1,"MB257","Garrett Vascular  Dilator  8-1/2"" 1mm",
"WTX052","S/N:","002","LIVER MICRO SET 2",,,
8,1,0,-1,"54-8018","Scissors  Dietrich 60°",
9,1,0,-1,"102-122","Metzenbaum Scissors Supercut 7"" Cvd",
"WTX059","S/N:","002","NEEDLE HOLDER VITAL DEBAKEY CV 2",,,
1,6,5,-1,"CH2483","Needle Holder Debakey   10-1/2""",
"WVAS001","S/N:","001","AAA PAN 1 1",,,
17,1,0,-1,"BJ052R","Clamp Rt Ang Finochietto (Hole In Tip) 10""",
38,1,0,-1,"352152","Scissors Potts Ang Large",
41,2,1,-1,"BD250R","Cooley Vascular Tissue Fcps 8"" 1mm",
57,1,0,-1,"456006","Knife Handle Beaver 10Cm",
"S/N:","002","AAA PAN 1 2",,,,
34,1,0,-1,"352196","Debakey Vascular Scissors 11"" 45°",
57,1,0,-1,"456006","Knife Handle Beaver 10Cm",
"S/N:","003","AAA PAN 1 3",,,,
34,1,0,-1,"352196","Debakey Vascular Scissors 11"" 45°",
"S/N:","004","AAA PAN 1 4",,,,
26,2,1,-1,"6006108","Needle Holder Castro Veigo 8""",
"WVAS002","S/N:","001","AAA PAN 2-RETRACTORS 1",,,
27,2,1,-1,"LC210R","Appl Ligaclip  Med Long  Handle Cover)",
"WVAS003","S/N:","003","AAA PAN 3-CLAMPS 3",,,
33,3,2,-1,"353131","Straight Bulldogs",
"WVAS004","S/N:","003","AMPUTATION VASC 3",,,
26,1,0,-1,"KM 46-258","Elevator Key 1/4""",
"WVAS010","S/N:","003","INSITU INST VASCULAR 3",,,
2,2,1,-1,"CH8680","Leather Valvulotome 23Cm Long",
"WVAS012","S/N:","001","MINOR VASCULAR/VASC 1",,,
20,2,0,-2,"3003-181","Jacobson Micro Ndl Hldr W/Lock D/d 8"" Rnd Handle Str",
"S/N:","002","MINOR VASCULAR/VASC 2",,,,
96,2,1,-1,"IMS8-13R","Retractor Adson Cerebellar  7-1/4"" 4x4-prong (MODIFIED BLUNT)",
107,1,0,-1,"355092","Garrett Dilator 1.5mm 22Cm",
113,1,0,-1,"355098","Garrett Dilator 4.5mm 22Cm",
"S/N:","005","MINOR VASCULAR/VASC 5",,,,
104,1,0,-1,"35-3206","Stylet Rummel 10.75""",
107,1,0,-1,"355092","Garrett Dilator 1.5mm 22Cm",
"WVAS016","S/N:","002","RETR OMNI BLADE  VASCULAR 2",,,
12,2,1,-1,"3782","Retractor Renal Vein Swivel 1""x 6""",
"WVAS035","S/N:","002","CLAMPS WELDON MINIATURE BULLDOG  2",,,
1,2,1,-1,"CH6077-001","Weldon Mini Bulldog Clamp 1-3/8"" Str 25mm",
2,2,1,-1,"CH6077-002","Weldon Mini Bulldog Clamp 1-1/4"" Cvd 25mm",
"WVAS040","S/N:","001","RETR OMNI MINI VASC 1",,,
17,1,0,-1,"4972","Retractor Malleable Swivel 1-1/2""x 4""x 6""",
"instacount®PLUS, © 2008-2010 Invitec GmbH & Co. KG","Froedtert Memorial Lutheran ",,,,,
